Комната;Предмет; Цена ;Артикул;Ссылка
Спальня;Комплект мебели для спальни; 36 828,00 ₽ ;9853,00;https://www.ozon.ru/product/komplekt-mebeli-dlya-spalni-sp-mesto-160h200-sm-315273245/?sh=k6XWQbKn#section-description--offset-140
Спальня;Тумба прикроватная; 4 687,00 ₽ ;91469,00;https://www.ozon.ru/product/prikrovatnaya-tumbochka-glazov-nature-41-spalnya-tumba-prikrovatnaya-dub-tabachnyy-craft-164104503/?sh=r-ZWqwLk#section-description--offset-140
Спальня;Комод пластиковый; 2 585,00 ₽ ;01-344;https://www.ozon.ru/product/komod-plastikovyy-s-yashchikami-39-5h49-5x98-sm-321777468/?sh=1loPm4KQ#section-description--offset-140
Спальня;Банкетка круглая; 1 179,00 ₽ ;БН 140 М;https://www.ozon.ru/product/dizaynerskaya-banketka-iz-usilennogo-stalnogo-korpusa-v-prihozhuyu-spalnyu-puf-tsveta-mednyy-antik-167601392/?sh=Zjf3Uvj_#section-description--offset-140
Спальня;Регулируемый столик; 7 550,00 ₽ ;столДУБ;https://www.ozon.ru/product/stolik-podstavka-dlya-noutbuka-stol-pomoshchnik-120h40h61-sm-283795462/?sh=U3aA09dL#section-description--offset-140
Гостиная;Гостиная стенка Лия; 14 207,00 ₽ ;Д101010;https://www.ozon.ru/product/gostinaya-stenka-liya-dub-sonoma-belyy-glyanets-345170238/?asb=XDQVVv8QlseONnvxQUcXnlDYIeQDRLCHrZQCfMLYPpo%253D&asb2=7db6CUXigXRJXRArE9pAkWbYbP-9-zq5imYjCdN5bRI&keywords=Гостиная&sh=4cdYwIhj#section-description--offset-140
Гостиная;Диван-кровать Мюнхен; 17 999,00 ₽ ;80327294,00;https://www.ozon.ru/product/divan-krovat-myunhen-mehanizm-evroknizhka-240h102h95-sm-206972966/?asb=3tw6o48w5WE1Wa8wZ4rJtppanuPvqLYQXlCICz%252FW2xw%253D&asb2=eOkw-XavsdjKayQp3BZuw3jSOzj_d6fwoAzYwlvnktIoEa7OVAoLwsxwZmiilGZL&keywords=диван&sh=NMeKC6OV#section-description--offset-140
Гостиная;Журнальный стол Новый праздник; 1 710,00 ₽ ;388,00;https://www.ozon.ru/product/zhurnalnyy-stol-novyy-prazdnik-zhurnalnyy-40h40h45-sm-260932889/?asb=hcI53Cgl2tj8t9%252FiBT3ZkA%252FQBY0agC06EW8BGTVDsaU%253D&asb2=M2OF_nq7jVIx0tGUqLPXE0PQAkuRgh4ClmWLS8Oj8QYLibQ0jAESJeUnM5nEYTav&keywords=столик&sh=Q-4lSxRQ#section-description--offset-140
Гостиная;Ковер Star Comfort; 980,00 ₽ ;3605080,00;https://www.ozon.ru/product/kover-star-comfort-3301241-0-8h0-5-m-203227501/?asb=Rr2oG1iVFi8gTd1atmDiDDwCnvGVvvmYCYelh875oLI%253D&asb2=vqJTgKTHjFgiy8Bd90noAZz0ilOeubk7BUidxyMilb4&keywords=ковер&sh=qmaHDU1P#section-description--offset-140
;;;;
;;;;
;;;;